"q2","q3","q4","q6","q7","q7_7_text","q19","q12","q12_5_text","q13","q14","q14_12_text","q57","q15","q20","q16","q11","q11_9_text","q17","q40_1","q41","q42","q43","q121","q46_1","q47","q48","q49","q122","q51_1","q52","q53","q54","q123","q23_1","q24","q25","q26","q124","q34_1","q35","q36","q37","q125","q28_1","q29","q30","q31","q126","age","male","educ","married","white","race","preference","sexuality","straight","trans","religion","religiosity","ideo5","partyid","viewer_party","democrat_respondent","partisan_id","poli_interest","employment","employed","income","treatment","same_party"
1986,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Moderate","Democrat","Hardly at all","Working full time now",NA,"$50,000 - $59,999",75,"Possibly","Possibly","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,5,0,1,11,2,3,1,0,9,1,3,1,0,1,0,1,8,1,6,0,NA
1992,"Male","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Moderately important","Liberal","Republican","Some of the time","Working full time now",NA,"$500,000 or more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,5,0,1,11,1,3,1,0,9,3,4,3,2,0,2,3,8,1,17,0,NA
1987,"Male","Some college, but no degree (yet)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Moderate","Democrat","Some of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,3,1,1,11,2,3,1,0,1,1,3,1,0,1,0,3,8,1,11,2,1
1983,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Jewish",NA,"Moderately important","Moderate","Independent","Some of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,86,"Very probably","Very probably","Very probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,6,1,1,11,2,3,1,0,6,3,3,2,1,0,1,3,8,1,8,1,1
1988,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Liberal","Independent","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Very probably","Very probably","Very probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,3,0,1,11,2,3,1,0,9,1,4,2,1,0,1,3,8,1,5,2,0
1992,"Female","4-year college degree","Never married","White",NA,"Women","Lesbian/gay woman",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Some of the time","Working full time now",NA,"$50,000 - $59,999",90,"Definitely","Definitely","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0,5,0,1,11,2,4,0,0,1,1,4,1,0,1,0,3,8,1,6,0,NA
1983,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Domestic/civil partnership","White",NA,"Women","Bisexual",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Independent","Most of the time","Working full time now",NA,"$20,000 - $29,999",62,"Probably not","Probably not","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,6,0,1,11,2,1,0,0,1,1,5,2,1,0,1,4,8,1,3,0,NA
1974,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Moderate","Independent","Only now and then","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,87,"Very probably","Very probably","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,5,1,1,11,2,3,1,0,10,2,3,2,1,0,1,2,8,1,11,1,1
1966,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,60,"Possibly","Possibly","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,5,1,1,11,2,3,1,0,1,1,4,1,0,1,0,4,8,1,7,1,0
1985,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Independent","Most of the time","Working full time now",NA,"$100,000 - $119,999",90,"Very probably","Very probably","Probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,5,0,1,11,2,3,1,0,1,1,2,2,1,0,1,4,8,1,11,0,NA
1985,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very conservative","Republican","Most of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Definitely not","Definitely not","Definitely not","Definitely not",33,0,4,1,1,11,1,3,1,0,10,4,1,3,2,0,2,4,8,1,5,2,NA
1990,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Very conservative","Republican","Most of the time","Working part time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Very probably","Very probably","Very probably","Possibly",NA,NA,NA,NA,NA,28,0,6,1,1,11,1,3,1,0,10,5,1,3,2,0,2,4,9,0,12,1,NA
1989,"Male","Some college, but no degree (yet)","Domestic/civil partnership","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,82,"Definitely","Definitely","Definitely","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,3,0,1,11,2,3,1,0,2,1,5,1,0,1,0,4,8,1,4,1,0
1980,"Male","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"Yes","Roman Catholic",NA,"Extremely important","Conservative","Republican","Some of the time","Working part time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,"Very probably","Very probably","Definitely","Very probably",NA,NA,NA,NA,NA,38,1,5,1,1,11,1,3,1,1,11,5,2,3,2,0,2,3,9,0,8,1,NA
1980,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Eastern or Greek Orthodox",NA,"Slightly important","Liberal","Democrat","Most of the time","Working full time now",NA,"$90,000 - $99,999",92,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,5,0,1,11,2,3,1,0,4,2,4,1,0,1,0,4,8,1,10,0,NA
1992,"Female","4-year college degree","Married","White",NA,"Men","Bisexual",NA,"No","Nothing in particular",NA,"Not at all important","Very liberal","Democrat","Some of the time","Taking care of home or family",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"Possibly","Probably not","Probably not","Very probably",26,0,5,1,1,11,1,1,0,0,9,1,5,1,0,1,0,3,5,0,8,2,1
1989,"Female","4-year college degree","Never married","Black or African-American,Asian or Asian-American",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Independent","Some of the time","Working part time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,"Probably","Possibly","Probably not","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,5,0,0,3,1,3,1,0,1,1,4,2,1,0,1,3,9,0,2,0,NA
1991,"Female","4-year college degree","Divorced","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Liberal","Democrat","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"Probably","Possibly","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,5,0,1,11,1,3,1,0,10,2,4,1,0,1,0,3,8,1,5,0,NA
1978,"Female","Some college, but no degree (yet)","Separated","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Independent","Only now and then","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Probably","Probably","Probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,3,0,1,11,1,3,1,0,2,1,3,2,1,0,1,2,8,1,6,0,NA
1990,"Female","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"Yes","Muslim",NA,"Extremely important","Very conservative","Democrat","Most of the time","Working full time now",NA,"$20,000 - $29,999",98,"Very probably","Definitely","Definitely","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,5,1,1,11,2,3,1,1,8,5,1,1,0,1,0,4,8,1,3,0,NA
1987,"Male","4-year college degree","Domestic/civil partnership","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Moderately important","Moderate","Independent","Some of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,5,0,1,11,2,3,1,0,1,3,3,2,1,0,1,3,8,1,11,2,0
1992,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Moderate","Independent","Some of the time","Working full time now",NA,"Less than $10,000",NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,3,0,1,11,2,3,1,0,10,5,3,2,1,0,1,3,8,1,1,1,1
1974,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Moderate","Republican","Most of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,"Probably not","Probably not","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,6,0,1,11,2,3,1,0,11,3,3,3,2,0,2,4,8,1,11,2,NA
1983,"Female","4-year college degree","Never married","White",NA,"Women","Lesbian/gay woman",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working part time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,"Very probably","Very probably","Possibly","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,5,0,1,11,2,4,0,0,2,1,4,1,0,1,0,4,9,0,3,2,1
